# parking, sq meters, style, price, location
# no = -1, yes = +1
# art_deco = 1 0 0, bungalow = 0 1 0, colonial = 0 0 1
# west = 1 0 0, east = 0 1 0, north = 0 0 1
#
-1	0.1275	0	1	0	0.3000	0	0	1
1	0.1100	1	0	0	0.3350	1	0	0
-1	0.1375	0	0	1	0.2860	0	1	0
1	0.1975	0	1	0	0.5120	0	0	1
-1	0.1200	0	0	1	0.2950	1	0	0
-1	0.2500	0	1	0	0.5650	0	1	0
1	0.1275	1	0	0	0.3710	0	0	1
-1	0.1750	0	0	1	0.3520	0	0	1
-1	0.2500	0	1	0	0.5500	0	0	1
1	0.1800	0	1	0	0.4450	1	0	0
1	0.0975	1	0	0	0.3270	0	0	1
-1	0.1100	0	1	0	0.2770	0	1	0
1	0.1975	0	0	1	0.4710	0	0	1
-1	0.3175	1	0	0	0.7580	0	1	0
-1	0.1700	0	1	0	0.3940	1	0	0
1	0.1650	0	1	0	0.4640	0	1	0
-1	0.2250	0	1	0	0.5410	0	1	0
-1	0.2125	0	1	0	0.5070	0	1	0
1	0.1675	0	1	0	0.4680	0	1	0
1	0.1550	1	0	0	0.4640	0	1	0
-1	0.1375	0	0	1	0.3250	1	0	0
-1	0.2425	0	1	0	0.5400	1	0	0
1	0.3200	0	0	1	0.7130	0	1	0
-1	0.3075	1	0	0	0.7240	0	1	0
-1	0.2700	1	0	0	0.6100	0	0	1
1	0.1700	0	1	0	0.4650	0	0	1
-1	0.1475	1	0	0	0.3630	1	0	0
-1	0.2500	0	1	0	0.5500	0	0	1
-1	0.2750	1	0	0	0.6250	0	0	1
-1	0.2000	1	0	0	0.5240	1	0	0
-1	0.1100	0	0	1	0.2360	1	0	0
-1	0.3400	1	0	0	0.7840	0	1	0
1	0.3000	0	0	1	0.7170	1	0	0
1	0.1550	0	1	0	0.4890	0	1	0
-1	0.2150	0	1	0	0.4800	0	0	1
-1	0.2900	0	0	1	0.6540	0	1	0
1	0.2750	0	0	1	0.6070	0	1	0
1	0.2175	0	1	0	0.5110	0	1	0
